[datetime.datetime(2019, 11, 11, 7, 15, 2, 372024), {'all': {'len': 17, 'sum': 340.53800000000007}, 'pa': {'len': 17, 'sum': 340.53800000000007}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 20, 2, 177609), {'all': {'len': 17, 'sum': 339.821}, 'pa': {'len': 17, 'sum': 339.821}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 25, 2, 455815), {'all': {'len': 18, 'sum': 357.321}, 'pa': {'len': 17, 'sum': 357.1940000000001}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 30, 2, 121358), {'all': {'len': 17, 'sum': 359.30300000000005}, 'pa': {'len': 17, 'sum': 359.30300000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 35, 2, 27914), {'all': {'len': 16, 'sum': 323.39300000000003}, 'pa': {'len': 16, 'sum': 323.39300000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 40, 1, 890307), {'all': {'len': 16, 'sum': 284.72800000000007}, 'pa': {'len': 15, 'sum': 283.86800000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 45, 2, 154840), {'all': {'len': 18, 'sum': 298.16600000000005}, 'pa': {'len': 16, 'sum': 290.049}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 50, 2, 502517), {'all': {'len': 16, 'sum': 241.975}, 'pa': {'len': 16, 'sum': 241.975}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 7, 55, 2, 184930), {'all': {'len': 17, 'sum': 289.306}, 'pa': {'len': 15, 'sum': 286.45599999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 0, 2, 676960), {'all': {'len': 17, 'sum': 300.199}, 'pa': {'len': 17, 'sum': 300.199}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 5, 2, 335293), {'all': {'len': 17, 'sum': 261.35800000000006}, 'pa': {'len': 17, 'sum': 261.35800000000006}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 10, 1, 766081), {'all': {'len': 18, 'sum': 273.52799999999996}, 'pa': {'len': 14, 'sum': 268.065}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 15, 2, 107116), {'all': {'len': 17, 'sum': 331.026}, 'pa': {'len': 17, 'sum': 331.026}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 20, 2, 693562), {'all': {'len': 17, 'sum': 295.556}, 'pa': {'len': 17, 'sum': 295.556}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 25, 2, 559053), {'all': {'len': 16, 'sum': 239.02499999999998}, 'pa': {'len': 16, 'sum': 239.02499999999998}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 30, 2, 279445), {'all': {'len': 16, 'sum': 224.03300000000002}, 'pa': {'len': 15, 'sum': 222.953}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 35, 2, 415544), {'all': {'len': 17, 'sum': 306.40099999999995}, 'pa': {'len': 16, 'sum': 305.24699999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 40, 1, 871803), {'all': {'len': 16, 'sum': 250.987}, 'pa': {'len': 16, 'sum': 250.987}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 45, 2, 320995), {'all': {'len': 20, 'sum': 352.51599999999996}, 'pa': {'len': 16, 'sum': 349.69399999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 50, 2, 202956), {'all': {'len': 17, 'sum': 305.06100000000004}, 'pa': {'len': 17, 'sum': 305.06100000000004}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 8, 55, 2, 162487), {'all': {'len': 18, 'sum': 342.09}, 'pa': {'len': 18, 'sum': 342.09}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 0, 2, 239260), {'all': {'len': 17, 'sum': 305.493}, 'pa': {'len': 17, 'sum': 305.493}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 5, 1, 895403), {'all': {'len': 17, 'sum': 249.471}, 'pa': {'len': 16, 'sum': 247.68800000000002}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 10, 4, 996833), {'all': {'len': 20, 'sum': 345.394}, 'pa': {'len': 16, 'sum': 341.124}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 15, 1, 961225), {'all': {'len': 17, 'sum': 312.16900000000004}, 'pa': {'len': 17, 'sum': 312.16900000000004}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 20, 2, 732603), {'all': {'len': 17, 'sum': 297.639}, 'pa': {'len': 17, 'sum': 297.639}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 25, 1, 878856), {'all': {'len': 17, 'sum': 336.482}, 'pa': {'len': 16, 'sum': 334.869}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 30, 2, 103811), {'all': {'len': 17, 'sum': 273.1809999999999}, 'pa': {'len': 17, 'sum': 273.1809999999999}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 35, 2, 288638), {'all': {'len': 16, 'sum': 262.29600000000005}, 'pa': {'len': 16, 'sum': 262.29600000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 40, 2, 661798), {'all': {'len': 17, 'sum': 295.26399999999995}, 'pa': {'len': 16, 'sum': 294.78099999999995}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 45, 1, 929497), {'all': {'len': 16, 'sum': 240.56799999999998}, 'pa': {'len': 15, 'sum': 237.44799999999998}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 50, 2, 736798), {'all': {'len': 16, 'sum': 267.24399999999997}, 'pa': {'len': 16, 'sum': 267.24399999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 9, 55, 2, 399217), {'all': {'len': 17, 'sum': 326.28800000000007}, 'pa': {'len': 17, 'sum': 326.28800000000007}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 0, 2, 538734), {'all': {'len': 17, 'sum': 285.42800000000005}, 'pa': {'len': 16, 'sum': 284.17100000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 5, 1, 848981), {'all': {'len': 17, 'sum': 321.012}, 'pa': {'len': 17, 'sum': 321.012}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 10, 2, 692918), {'all': {'len': 17, 'sum': 335.13500000000005}, 'pa': {'len': 17, 'sum': 335.13500000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 15, 2, 258267), {'all': {'len': 17, 'sum': 294.525}, 'pa': {'len': 16, 'sum': 293.17499999999995}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 25, 2, 239855), {'all': {'len': 18, 'sum': 337.84799999999996}, 'pa': {'len': 17, 'sum': 337.318}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 30, 2, 274401), {'all': {'len': 19, 'sum': 317.932}, 'pa': {'len': 17, 'sum': 317.47800000000007}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 35, 2, 227268), {'all': {'len': 17, 'sum': 348.47}, 'pa': {'len': 17, 'sum': 348.47}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 40, 2, 570017), {'all': {'len': 18, 'sum': 334.827}, 'pa': {'len': 16, 'sum': 332.327}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 45, 2, 687458), {'all': {'len': 17, 'sum': 303.635}, 'pa': {'len': 16, 'sum': 302.85799999999995}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 50, 1, 810308), {'all': {'len': 18, 'sum': 326.378}, 'pa': {'len': 17, 'sum': 325.188}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 10, 55, 2, 514784), {'all': {'len': 18, 'sum': 330.6930000000001}, 'pa': {'len': 16, 'sum': 324.82700000000006}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 11, 0, 1, 989330), {'all': {'len': 18, 'sum': 338.15299999999996}, 'pa': {'len': 17, 'sum': 336.519}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 11, 5, 2, 480024), {'all': {'len': 17, 'sum': 298.79}, 'pa': {'len': 17, 'sum': 298.79}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 11, 10, 1, 961341), {'all': {'len': 17, 'sum': 304.944}, 'pa': {'len': 17, 'sum': 304.944}, 'tbs': {'len': 0, 'sum': 0}}]
